DATES,DESTINATION,TRIP LEADER
25-27 Jan 2020<br />Australia Day Long Weekend,Meningie,Gordon
15-16 Feb 2020,Moonta,Brett
7-9 March 2020<br />March Long Weekend,Murray Sunset,Gordon
21-22 March 2020,Pub Run - Overland Corner,Gordon
28-29 March 2020,Border Track Working Bee,David B
6-8 June 2020<br />June Long Weekend,Bendleby Ranges,Neil
20-21 June 2020,Loveday,Neil
4-5 July 2020,Mt Crawford,Darren W
18-19 July 2020,Geranium,Aaron
25-26 July 2020,Saunders Gorge / Mannum Falls,Greg
8-9 August 2020,Gold Escort Route,Scott
22-23 August 2020,Peake,Greg
12-13 Sept 2020,Willangi,Aaron
26-27 Sept 2020,Barossa,Neil
3-5 Oct 2020<br />October Long Weekend,Warraweena,Mike
24-25 Oct 2020,Katarapko,Warren
14-15 Nov 2020,Bushys,Chris
28-29 Nov 2020,Deep Creek,Rick
5-6 Dec 2020,Normanville Christmas,
